type,date,close
BTS,2012-09-01T00:00:00Z,<1
BTS,2012-10-01T00:00:00Z,<1
BTS,2012-11-01T00:00:00Z,<1
BTS,2012-12-01T00:00:00Z,<1
BTS,2013-01-01T00:00:00Z,<1
BTS,2013-02-01T00:00:00Z,<1
BTS,2013-03-01T00:00:00Z,<1
BTS,2013-04-01T00:00:00Z,<1
BTS,2013-05-01T00:00:00Z,<1
BTS,2013-06-01T00:00:00Z,1
BTS,2013-07-01T00:00:00Z,1
BTS,2013-08-01T00:00:00Z,1
BTS,2013-09-01T00:00:00Z,1
BTS,2013-10-01T00:00:00Z,1
BTS,2013-11-01T00:00:00Z,1
BTS,2013-12-01T00:00:00Z,1
BTS,2014-01-01T00:00:00Z,1
BTS,2014-02-01T00:00:00Z,1
BTS,2014-03-01T00:00:00Z,1
BTS,2014-04-01T00:00:00Z,1
BTS,2014-05-01T00:00:00Z,1
BTS,2014-06-01T00:00:00Z,1
BTS,2014-07-01T00:00:00Z,1
BTS,2014-08-01T00:00:00Z,2
BTS,2014-09-01T00:00:00Z,1
BTS,2014-10-01T00:00:00Z,1
BTS,2014-11-01T00:00:00Z,1
BTS,2014-12-01T00:00:00Z,2
BTS,2015-01-01T00:00:00Z,1
BTS,2015-02-01T00:00:00Z,2
BTS,2015-03-01T00:00:00Z,2
BTS,2015-04-01T00:00:00Z,2
BTS,2015-05-01T00:00:00Z,2
BTS,2015-06-01T00:00:00Z,2
BTS,2015-07-01T00:00:00Z,3
BTS,2015-08-01T00:00:00Z,3
BTS,2015-09-01T00:00:00Z,2
BTS,2015-10-01T00:00:00Z,2
BTS,2015-11-01T00:00:00Z,3
BTS,2015-12-01T00:00:00Z,5
BTS,2016-01-01T00:00:00Z,4
BTS,2016-02-01T00:00:00Z,3
BTS,2016-03-01T00:00:00Z,4
BTS,2016-04-01T00:00:00Z,4
BTS,2016-05-01T00:00:00Z,5
BTS,2016-06-01T00:00:00Z,5
BTS,2016-07-01T00:00:00Z,4
BTS,2016-08-01T00:00:00Z,4
BTS,2016-09-01T00:00:00Z,4
BTS,2016-10-01T00:00:00Z,6
BTS,2016-11-01T00:00:00Z,5
BTS,2016-12-01T00:00:00Z,6
BTS,2017-01-01T00:00:00Z,6
BTS,2017-02-01T00:00:00Z,8
BTS,2017-03-01T00:00:00Z,8
BTS,2017-04-01T00:00:00Z,7
BTS,2017-05-01T00:00:00Z,10
BTS,2017-06-01T00:00:00Z,8
BTS,2017-07-01T00:00:00Z,8
BTS,2017-08-01T00:00:00Z,7
BTS,2017-09-01T00:00:00Z,10
BTS,2017-10-01T00:00:00Z,8
BTS,2017-11-01T00:00:00Z,16
BTS,2017-12-01T00:00:00Z,15
BTS,2018-01-01T00:00:00Z,17
BTS,2018-02-01T00:00:00Z,14
BTS,2018-03-01T00:00:00Z,13
BTS,2018-04-01T00:00:00Z,14
BTS,2018-05-01T00:00:00Z,22
BTS,2018-06-01T00:00:00Z,16
BTS,2018-07-01T00:00:00Z,14
BTS,2018-08-01T00:00:00Z,16
BTS,2018-09-01T00:00:00Z,20
BTS,2018-10-01T00:00:00Z,17
BTS,2018-11-01T00:00:00Z,14
BTS,2018-12-01T00:00:00Z,15
BTS,2019-01-01T00:00:00Z,15
BTS,2019-02-01T00:00:00Z,17
BTS,2019-03-01T00:00:00Z,16
BTS,2019-04-01T00:00:00Z,21
BTS,2019-05-01T00:00:00Z,24
BTS,2019-06-01T00:00:00Z,17
BTS,2019-07-01T00:00:00Z,15
BTS,2019-08-01T00:00:00Z,14
BTS,2019-09-01T00:00:00Z,11
BTS,2019-10-01T00:00:00Z,11
BTS,2019-11-01T00:00:00Z,12
BTS,2019-12-01T00:00:00Z,13
BTS,2020-01-01T00:00:00Z,18
BTS,2020-02-01T00:00:00Z,20
BTS,2020-03-01T00:00:00Z,14
BTS,2020-04-01T00:00:00Z,14
BTS,2020-05-01T00:00:00Z,13
BTS,2020-06-01T00:00:00Z,15
BTS,2020-07-01T00:00:00Z,13
BTS,2020-08-01T00:00:00Z,17
BTS,2020-09-01T00:00:00Z,17
BTS,2020-10-01T00:00:00Z,17
BTS,2020-11-01T00:00:00Z,15
BTS,2020-12-01T00:00:00Z,15
BTS,2021-01-01T00:00:00Z,13
BTS,2021-02-01T00:00:00Z,12
BTS,2021-03-01T00:00:00Z,15
BTS,2021-04-01T00:00:00Z,14
BTS,2021-05-01T00:00:00Z,22
BTS,2021-06-01T00:00:00Z,20
BTS,2021-07-01T00:00:00Z,15
BTS,2021-08-01T00:00:00Z,12
BTS,2021-09-01T00:00:00Z,14
BTS,2021-10-01T00:00:00Z,12
BTS,2021-11-01T00:00:00Z,15
BTS,2021-12-01T00:00:00Z,16
BTS,2022-01-01T00:00:00Z,13
BTS,2022-02-01T00:00:00Z,13
BTS,2022-03-01T00:00:00Z,15
BTS,2022-04-01T00:00:00Z,19
BTS,2022-05-01T00:00:00Z,12
BTS,2022-06-01T00:00:00Z,17
BTS,2022-07-01T00:00:00Z,12
BTS,2022-08-01T00:00:00Z,10
BTS,2022-09-01T00:00:00Z,8
BTS,2022-10-01T00:00:00Z,11
BTS,2022-11-01T00:00:00Z,9
BTS,2022-12-01T00:00:00Z,9
BTS,2023-01-01T00:00:00Z,8
BTS,2023-02-01T00:00:00Z,9
Ariana Grande,2008-01-01T00:00:00Z,<1
Ariana Grande,2008-02-01T00:00:00Z,0
Ariana Grande,2008-03-01T00:00:00Z,0
Ariana Grande,2008-04-01T00:00:00Z,<1
